Nom;Alias;IATA;OACI;Pays
C N Air;\N;;ORO;Spain
C and M Aviation;\N;;TIP;United States
C&M Airways;\N;;RWG;United States
C.S.P.;\N;;RMU;AIR-MAUR
CABI;\N;;CBI;Ukraine
CAI;\N;;CPI;Italy
CAL Cargo Air Lines;\N;5C;ICL;Israel
CAM Air Management;\N;;CMR;United Kingdom
CATA L;\N;;CTZ;Argentina
CCF Manager Airline;\N;;CCF;Germany
CEDTA (Compania Ecuatoriana De Transportes Aereos);\N;;CED;Ecuador
CHC Denmark;\N;;HBI;Denmark
CHC Helicopters;\N;;HEM;Australia
CHC Airways;\N;AW;SCH;Netherlands
CHC Helikopter Service;\N;;HKS;Norway
CI-Tours;\N;;VCI;Ivory Coast
CKC Services;\N;;CKC;United States
CM Stair;\N;;CMZ;Mauritania
CNET;\N;;CNT;France
COAPA AIR;\N;;OAP;Mexico
COMAV;\N;;PDR;Namibia
CRI Helicopters Mexico;\N;;CRH;Mexico
CSA Air;\N;;IRO;United States
CSE Aviation;\N;;CSE;United Kingdom
CTK Network Aviation;\N;;CTQ;Ghana
Cabair College of Air Training;\N;;CBR;United Kingdom
Cabo Verde Express;\N;;CVE;Cape Verde
Caernarfon Airworld;\N;;CWD;United Kingdom
Cairo Air Transport Company;\N;;CCE;Egypt
Cal Gulf Aviation;\N;;CGC;Sao Tome and Principe
Cal-West Aviation;\N;;REZ;United States
California Air Shuttle;\N;;CSL;United States
Calima Aviacion;\N;XG;CLI;Spain
Calm Air;\N;MO;CAV;Canada
Camai Air;\N;R9;CAM;United States
Cambodia Airlines;\N;;KHM;Cambodia
Cameroon Airlines;\N;UY;UYC;Cameroon
Campania Helicopteros De Transporte;\N;;HSO;Spain
CanJet;\N;C6;CJA;Canada
Canada Jet Charters;\N;;PIL;Canada
Canadian Airlines;\N;CP;CDN;Canada
Canadian Coast Guard;\N;;CTG;Canada
Canadian Eagle Aviation;\N;;HIA;Canada
Canadian Forces;\N;;CFC;Canada
Canadian Global Air Ambulance;\N;;BZD;Canada
Canadian Helicopters;\N;;CDN;Canada
Canadian Interagency Forest Fire Centre;\N;;TKR;Canada
Canadian National Telecommunications;\N;;XNC;Canada
Canadian North;\N;5T;MPE;Canada
Canadian Regional Airlines;\N;;CDR;Canada
Canadian Warplane Heritage Museum;\N;;CWH;Canada
Canadian Western Airlines;\N;W2;CWA;Canada
Canair;\N;;CWW;China
Cancun Air;\N;;CUI;Mexico
Cape Air;\N;9K;KAP;United States
Cape Air Transport;\N;;CTO;Australia
Cape Central Airways;\N;;SEM;United States
Cape Smythe Air;\N;;CMY;United States
Capital Air Service;\N;;CPX;United States
Capital Airlines;\N;;CPD;Kenya
Capital Airlines Limited;\N;;NCP;Nigeria
Capital Cargo International Airlines;\N;PT;CCI;United States
Capital City Air Carriers;\N;;CCQ;United States
Capital Trading Aviation;\N;;EGL;United Kingdom
Capitol Air Express;\N;;CEX;United States
Capitol Wings Airline;\N;;CWZ;United States
Caravan Air;\N;;VAN;Mauritania
Cardiff Wales Flying Club;\N;;CWN;United Kingdom
Cardinal/Air Virginia;\N;;FVA;United States
Cardolaar;\N;;GOL;Namibia
Cards Air Services;\N;;CDI;Philippines
Care Flight;\N;;CFH;Australia
Carga Aerea Dominicana;\N;;CDM;Dominican Republic
Carga Express Internacional;\N;;EST;Mexico
Cargo 360;\N;GG;GGC;United States
Cargo Express;\N;;MCX;Mauritania
Cargo Ivoire;\N;;CRV;Ivory Coast
Cargo Link (Caribbean);\N;;CLM;Barbados
Cargo Three;\N;;CTW;Panama
Cargoitalia;\N;2G;CRG;Italy
Cargojet Airways;\N;W8;CJT;Canada
Cargolux;\N;CV;CLX;Luxembourg
Cargoman;\N;;CGM;Oman
Carib Aviation;\N;;DEL;Antigua and Barbuda
Carib Express;\N;;BCB;Barbados
Caribair;\N;;CBC;Dominican Republic
Caribbean Air Cargo;\N;;DCC;Barbados
Caribbean Air Transport;\N;;CLT;Netherlands
Caribbean Airlines;\N;BW;BWA;Trinidad and Tobago
Caribbean Airways;\N;;IQQ;Barbados
Caribbean Express;\N;;TLC;United States
Caribbean Star Airlines;\N;8B;GFI;Antigua and Barbuda
Caribintair;\N;;CRT;Haiti
Carill Aviation;\N;;CVG;United Kingdom
Carpatair;\N;V3;KRP;Romania
Carranza;\N;;CRR;Chile
Carroll Air Service;\N;;ULS;United States
Casement Aviation;\N;;CMT;United States
Casino Airline;\N;;CSO;United States
Casper Air Service;\N;;CSP;United States
Caspian Airlines;\N;RV;CPN;Iran
Castle Aviation;\N;;CSJ;United States
Cat Aviation;\N;;CAZ;Switzerland
Catalina Flying Boats;\N;;CBT;United States
Catex;\N;;TEX;France
Cathay Pacific;\N;CX;CPA;Hong Kong SAR of China
Caverton Helicopters;\N;;CJR;Nigeria
Cayman Airways;\N;KX;CAY;Cayman Islands
Cebu Pacific;\N;5J;CEB;Philippines
Cecil Aviation;\N;;CIL;United Kingdom
Cega Aviation;\N;;CEG;United Kingdom
Celtic Airways;\N;;CEC;United Kingdom
Celtic West;\N;;CWE;United Kingdom
Centavia;\N;7N;CNA;Serbia
Cente D'Essais En Vol;\N;;CEV;France
Centennial Airlines;\N;;CNL;United States
Centennial Flight Centre;\N;;CNS;Canada
Center Vol;\N;;CVO;Spain
Center-South;\N;;CTS;Russia
Centrafrican Airlines;\N;;CET;Central African Republic
Central Air Express;\N;;CAX;Democratic Republic of Congo
Central Airlines;\N;;CTL;United States
Central Airways;\N;;CNY;Sierra Leone
Central American Airlines;\N;;ACN;Nicaragua
Central Aviation;\N;;YOG;United States
Central Connect Airlines;\N;;CCG;Czech Republic
Central De Discos De Reynosa;\N;;DRN;Mexico
Central European Airlines;\N;;CMA;Czech Republic
Central Flying Service;\N;;CHA;United States
Central Mongolia Airways;\N;;CEM;Mongolia
Central Mountain Air;\N;;GLR;Canada
Central Queensland Aviation College;\N;;CQC;Australia
Central Skyport;\N;;CSI;United States
Centralwings;\N;C0;CLW;Poland
Centre Airlines;\N;;DTV;United States
Centre of Applied Geodynamica;\N;;CGS;Russia
Centre-Avia;\N;J7;CVC;Russia
Centro De Helicopteros Corporativos;\N;;CCV;Mexico
Centro de Formacion Aeronautica de Canarias;\N;;ACF;Spain
Centurion Air Cargo;\N;WE;CWC;United States
Century Aviation;\N;;URY;Mexico
Century Aviation International;\N;;HAI;Canada
Certified Air Dispatch;\N;;XAD;United States
Cetraca Aviation Service;\N;;CER;Democratic Republic of the Congo
Chabahar Airlines;\N;;IRU;Iran
Chalair Aviation;\N;;CLG;France
Chalk's Ocean Airways;\N;OP;CHK;United States
Challenge Air Transport;\N;;CLS;Germany
Challenge Aviation;\N;;CHS;Australia
Challenge International Airlines;\N;;OFF;United States
AC Challenge Aero;\N;;CHG;Ukraine
Champagne Airlines;\N;;CPH;France
Champion Air;\N;MG;CCP;United States
Chanchangi Airlines;\N;;NCH;Nigeria
Changan Airlines;\N;2Z;CGN;China
Channel Island Aviation;\N;;CHN;United States
Chantilly Air;\N;;WML;United States
Chaparral Airlines;\N;;CPL;United States
Chari Aviation Services;\N;S8;CSU;Chad
Charlan Air Charter;\N;;CAH;South Africa
Charlie Hammonds Flying Service;\N;;HMD;United States
Charlotte Air National Guard;\N;;CGD;United States
Charter Air;\N;;CHW;Austria
Chartright Air;\N;;HRT;Canada
Chautauqua Airlines;\N;RP;CHQ;United States
Cheboksary Airenterprise JSC;\N;;CBB;Russia
Chemech Aviation;\N;;CHM;Pakistan
Cherline;\N;;CHZ;Russia
Chernomor-Avia;\N;;CMK;Russia
Cherokee Express;\N;;CBM;United States
Cherry Air;\N;;CCY;United States
Chesapeake Air Service;\N;;CAB;United States
Chevron U.S.A;\N;;CVR;United States
Cheyenne Airways;\N;;CYA;United States
Chicago Air;\N;;CGO;United States
Chicago Express;\N;C8;WDY;United States
Chief Rat Flight Services;\N;;RAT;South Africa
Chilchota Taxi Aereo;\N;;CCH;Mexico
Chilcotin Caribou Aviation;\N;;DES;Canada
Chilliwack Aviation;\N;;CAD;Canada
Chim-Nir Aviation;\N;;ETN;Israel
China Airlines;\N;CI;CAL;Taiwan
China Cargo Airlines;\N;CK;CKK;China
China Eastern Airlines;\N;MU;CES;China
China Express Airlines;\N;;HXA;China
China Flying Dragon Aviation;\N;;CFA;China
China General Aviation Corporation;\N;;CTH;China
China National Aviation Corporation;\N;;CAG;China
China Northern Airlines;\N;CJ;CBF;China
China Northwest Airlines;\N;WH;CNW;China
China Ocean Helicopter Corporation;\N;;CHC;China
China Postal Airlines;\N;8Y;CYZ;China
China Southern Airlines;\N;CZ;CSN;China
China Southwest Airlines;\N;;CXN;China
China United Airlines;\N;HR;CUA;China
China Xinhua Airlines;\N;XO;CXH;China
Yunnan Airlines;\N;3Q;CYH;China
Chinguetti Airlines;\N;;CGU;Mauritania
Chipola Aviation;\N;;CEP;United States
Chippewa Air Commuter;\N;;CPW;United States
Chitaavia;\N;X7;CHF;Russia
Christman Air System;\N;;CAS;United States
Christophorus Flugrettungsverein;\N;;OEC;Austria
Chrome Air Services;\N;;CHO;United States
Church Aircraft;\N;;CHU;United States
Cielos Airlines;\N;A2;CIU;Peru
Cimber Air;\N;QI;CIM;Denmark
Cirrus;\N;;RRU;Chile
Cirrus Air;\N;;NTS;United States
Cirrus Airlines;\N;C9;RUS;Germany
Cirrus Middle East;\N;;JTI;Lebanon
Citationshares;\N;;FIV;United States
Citibank;\N;;XCX;United States
Citic General Aviation;\N;;HZX;China
City Airline;\N;CF;SDR;Sweden
City Connexion Airlines;\N;G3;CIX;Burundi
City of Bangor;\N;;XBG;United States
CityJet;\N;WX;BCY;Ireland
Cityair (Chester) Limited;\N;;CAQ;United Kingdom
Cityfly;\N;;CII;Italy
BA CityFlyer;\N;CJ;CFE;United Kingdom
Cityline Hungary;\N;;CNB;Hungary
Citylink Airlines;\N;;HSR;United States
Civair Airways;\N;;CIW;South Africa
Civil Air Patrol South Carolina Wing;\N;;BKR;United States
Civil Air Transport;\N;CT;CAT;Taiwan
Civil Aviation Authority;\N;;CIA;Slovakia
Civil Aviation Authority of New Zealand;\N;;CIV;New Zealand
Civil Aviation Inspectorate of the Czech Republic;\N;;CBA;Czech Republic
Claessens International Limited;\N;;FMC;United Kingdom
Clark Aviation;\N;;CLK;United States
Clasair;\N;;CSF;United Kingdom
Clay Lacy Aviation;\N;;CLY;United States
Click Airways;\N;;CGK;Kyrgyzstan
Cloud 9 Air Charters;\N;;CLZ;South Africa
Clowes Estates Limited;\N;;CLD;United Kingdom
Club 328;\N;;SDJ;United Kingdom
Club Air;\N;6P;ISG;Italy
Coast Air;\N;BX;CST;Norway
Coastal Air;\N;DQ;;United States
Coastal Air Transport;\N;;TCL;United States
Coastal Airways;\N;;CNG;United States
Coastal Travels;\N;;CSV;Tanzania
Cohlmia Aviation;\N;;CHL;United States
Colaereos;\N;;OLR;Ecuador
Colemill Enterprises;\N;;CLE;United States
Colgan Air;\N;9L;CJC;United States
Colibri Aviation;\N;;CAE;Canada
Colt International;\N;;CCX;United States
Columbia Airlines;\N;;COL;Canada
Columbia Helicopters;\N;;WCO;United States
Columbus Air Transport;\N;;KLR;United States
Colvin Aviation;\N;;GHP;United States
Comair;\N;OH;COM;United States
Comair;\N;MN;CAW;South Africa
Comed Group;\N;;CDE;United Kingdom
Comeravia;\N;;CVV;Venezuela
Comercial Aerea;\N;;CRS;Mexico
Comet Airlines;\N;;CMG;Nigeria
Comfort Air;\N;;FYN;Germany
Comlux Aviation;\N;;CLA;Switzerland
Commair Aviation;\N;;CMH;United Kingdom
Commandement Du Transport Aerien Militaire Francais;\N;;CTM;France
Commander Air Charter;\N;;CML;Canada
Commander Mexicana;\N;;CRM;Mexico
Commercial Aviation;\N;;CMS;Canada
Commodore Aviation;\N;;GAR;Australia
Commonwealth Jet Service;\N;;CJS;United States
CommutAir;\N;C5;UCA;United States
Comores Airlines;\N;KR;CWK;Comoros
Compagnia Generale Ripreseaeree;\N;;CGR;Italy
Compagnie Aerienne du Mali;\N;;CMM;Mali
Compagnie Mauritanienne Des Transports;\N;;CPM;Mauritania
Compagnie de Bauxites de Guinee;\N;;GIC;Guinea
Compania Aerea de Valencia;\N;;AIF;Spain
Compania Aerotecnicas Fotograficas;\N;;ATF;Spain
Compania Boliviana de Transporte Aereo Privado Aerosur;\N;;ASU;ASUR
Compania De Actividades Y Servicios De Aviacion;\N;;LCT;Spain
Compania Ejecutiva;\N;;EJV;Mexico
Compania Helicopteros Del Sureste;\N;;HSE;Spain
Compania Mexicana De Aeroplanos;\N;;MDR;Mexico
Compania Mexicargo;\N;GJ;MXC;Mexico
Compania Transportes Aereos Del Sur;\N;;HSS;Spain
Compania de Servicios Aereos Tavisa;\N;;TAV;Spain
Company Flight;\N;;CYF;Denmark
Compass Airlines;\N;CP;CPZ;United States
Compass International Airways;\N;;CPS;United Kingdom
Compuflight Operations Service;\N;;XCO;United States
Compuserve Incorporated;\N;;XCS;United States
Conair Aviation;\N;;CRC;Canada
Concordavia;\N;;COD;Ukraine
Condor Aero Services;\N;;CNR;United States
Condor;\N;;CIB;Germany
Condor Flugdienst;\N;DE;CFG;Germany
Confort Air;\N;;COF;Canada
Congo Air;\N;;CAK;Bahamas
Congressional Air;\N;;CGA;United States
Conifair Aviation;\N;;ROY;Canada
Connectair Charters;\N;;BSN;Canada
Conquest Airlines;\N;;CAC;United States
Conroe Aviation Services;\N;;CXO;United States
Consorcio Aviaxsa;\N;6A;CHP;Mexico
Consorcio Helitec;\N;;VCH;Venezuela
Constanta Airline;\N;;UZA;Ukraine
Contact Air;Contactair;C3;KIS;Germany
Contel ASC;\N;;XCL;United States
Continental Airlines;\N;CO;COA;United States
Continental Airways;\N;PC;PVV;Russia
Continental Express;\N;CO;;United States
Continental Micronesia;\N;CS;CMI;United States
Continental Oil;\N;;CON;United States
Conviasa;\N;V0;VCV;Venezuela
Cook Inlet Aviation;\N;;CKA;United States
Cooper Aerial Surveys;\N;;SVY;United Kingdom
Copa Airlines;\N;CM;CMP;Panama
Copenhagen Airtaxi;\N;;CAT;Denmark
Copper State Air Service;\N;;COP;United States
Copterline;\N;;AAQ;Finland
Coptrade Air Transport;\N;;CCW;Sudan
Corendon Airlines;\N;;CAI;Turkey
Coronado Aerolineas;\N;;CRA;Colombia
Corpac Canada;\N;;CPB;Canada
Corporacion Aereo Cencor;\N;;CNC;Mexico
Corporacion Aeroangeles;\N;;CPG;Mexico
Corporacion Paraguaya De Aeronautica;\N;;CGY;Paraguay
Corporate Air;\N;;CPT;United States
Corporate Air;\N;;CPR;United States
Corporate Aircraft Company;\N;;CPO;United States
Corporate Airlink;\N;;COO;Canada
Corporate Aviation Services;\N;;CKE;United States
Corporate Flight International;\N;;VHT;United States
Corporate Flight Management;\N;;VTE;United States
Corporate Jets;\N;;CJI;United States
Corsairfly;\N;SS;CRL;France
Corse-Mediterranee;\N;XK;CCM;France
Cosmic Air;\N;F5;COZ;Nepal
Cougar Helicopters;\N;;CHI;Canada
Coulson Flying Service;\N;;MGB;United Kingdom
Country Connection Airlines;\N;;NSW;Australia
Country International Airlines;\N;;CIK;Kyrgyzstan
Courier Services;\N;;CSD;United States
Court Helicopters;\N;;CUT;South Africa
Coval Air;\N;;CVL;Canada
Cowi;\N;;COW;Netherlands
Coyne Aviation;\N;;COY;United Kingdom
Cranfield University;\N;;CFD;United Kingdom
Cree Airways;\N;;CRE;Canada
Crelam;\N;;ELM;Mexico
Crest Aviation;\N;;CAN;United Kingdom
Crimea Universal Avia;\N;;KRM;Ukraine
Croatia Airlines;\N;OU;CTN;Croatia
Croatian Air Force;\N;;HRZ;Croatia
Cross Aviation;\N;;CRX;United Kingdom
Crossair Europe;\N;QE;ECC;Switzerland
Crow Executive Air;\N;;CWX;United States
Crown Air Systems;\N;;CKR;United States
Crown Airways;\N;;CRO;United States
Crownair;\N;;CRW;Canada
Cruiser Linhas Aereas;\N;;VCR;Brazil
Cryderman Air Service;\N;;CTY;United States
Crystal Shamrock;\N;;CYT;United States
Cubana de Aviación;\N;CU;CUB;Cuba
Cumberland Airways (Nicholson Air Service);\N;;CBL;United States
Custom Air Transport;\N;;CTT;United States
Cygnus Air;\N;;RGN;Spain
Cyprair Tours;\N;;CYC;Cyprus
Cypress Airlines;\N;;CYS;Canada
Cyprus Airways;\N;CY;CYP;Cyprus
Cyprus Turkish Airlines;\N;YK;;Turkey
Czech Air Force;\N;;CEF;Czech Republic
Czech Air Handling;\N;;AHD;Czech Republic
Czech Airlines;CSA Czech Airlines;OK;CSA;Czech Republic
Czech Government Flying Service;\N;;CIE;Czech Republic
D & D Aviation;\N;;DDA;United States
D&K Aviation;\N;;DNK;United States
DAP Helicopteros;\N;;DHE;Chile
DFS UK Limited;\N;;VLF;United Kingdom
DAS Air Cargo;\N;WD;DSR;Uganda
DAS Airlines;\N;;RKC;Democratic Republic of the Congo
DAT Danish Air Transport;\N;DX;DTR;Denmark
DAT Enterprise Limited;\N;;ENT;United Kingdom
DERA Boscombe Down;\N;;BDN;United Kingdom
DESNA;\N;;DSN;Ukraine
DETA Air;\N;;DET;Kazakhstan
DGO Jet;\N;;DGO;Mexico
DHL Aero Expreso;\N;;DAE;Panama
DHL Air;\N;;DHK;United Kingdom
DHL Aviation;\N;;DHV;South Africa
DHL International;\N;ES;DHX;Bahrain
DHL de Guatemala;\N;L3;JOS;Guatemala
DSWA;\N;;RSK;United States
Daallo Airlines;\N;D3;DAO;Djibouti
Dagestan Airlines;\N;N2;DAG;Russia
Dahla Airlines;\N;;DHA;Democratic Republic of Congo
Daimler Chrysler Aviation;\N;;DCS;Germany
Daimler-Chrysler;\N;;DCX;United States
Daka;\N;;DKA;Kazakhstan
Dala Air Services;\N;;DLR;Nigeria
Dalavia;\N;H8;KHB;Russia
Dallas Express Airlines;\N;;DXP;United States
Damascene Airways;\N;;DAS;Syrian Arab Republic
Danbury Airways;\N;;DSA;United States
Dancopter;\N;;DOP;Denmark
Danish Air Force;\N;;DAF;Denmark
Danish Army;\N;;DAR;Denmark
Danish Navy;\N;;DNY;Denmark
Danu Oro Transportas;\N;;DNU;Lithuania
Darta;\N;;DRT;France
Darwin Airline;\N;0D;DWT;Switzerland
Dasab Airlines;\N;;DSQ;Uganda
Dash Air Charter;\N;;DSH;United States
Dash Aviation;\N;;GOB;United Kingdom
Dasnair;\N;;DGX;Switzerland
Dassault Aviation;\N;;DAB;France
Dassault Falcon Jet Corporation;\N;;CVF;United States
Dassault Falcon Service;\N;;DSO;France
Data International;\N;;DTN;Sudan
Date Transformation Corp;\N;;XDT;United States
Dauair;\N;D5;DAU;Germany
David Crawshaw Consultants Limited;\N;;DCO;United Kingdom
Dawn Air;\N;;DWN;United States
DayJet;\N;;DJS;United States
Daya Aviation;\N;;DAY;Sri Lanka
De Havilland;\N;;DHC;Canada
Deadalos Flugtbetriebs;\N;;IAY;Austria
Decatur Aviation;\N;;DAA;United States
Deccan Aviation;\N;;DKN;India
Deccan Aviation (Lanka);\N;;DLK;Sri Lanka
Deer Jet;\N;;DER;China
Deere and Company;\N;;JDC;United States
Delaware Skyways;\N;;DWR;United States
Delta Aerotaxi;\N;;DEA;Italy
Delta Air Charter;\N;;SNO;Canada
Delta Air Elite;\N;;ELJ;United States
Delta Air Lines;\N;DL;DAL;United States
Delta Engineering Aviation;\N;;KMB;United Kingdom
Delta Express International;\N;;DLI;Ukraine
Delta State University;\N;;DSU;United States
Denim Air;\N;;DNM;Netherlands
Denver Express;\N;;FEC;United States
Denver Jet;\N;;DJT;United States
Departmento De Agricultura De La Generalitat De Cataluna;\N;;FGC;Spain
Deraya Air Taxi;\N;;DRY;Indonesia
Des R Cargo Express;\N;;DRX;Mauritania
Desarrollo Milaz;\N;;MIZ;Mexico
Destiny Air Services;\N;;DTY;Sierra Leone
Deutsche Bahn;\N;2A;;Germany
Deutsche Rettungsflugwacht;\N;1I;AMB;Germany
Deutsches Zentrum fur Luft-und Raumfahrt EV;\N;;LFO;Germany
Di Air;\N;;DIS;Serbia
Diamond Aviation;\N;;SPK;United States
Didier Rousset Buy;\N;;DRB;Chile
Digital Equipment Corporation;\N;;DGT;United States
Dinar;\N;D7;RDN;Argentina
Diplomatic Freight Services;\N;;DIP;United Kingdom
Direccion General de Aviacion Civil y Telecomunicasciones;\N;;ENA;Spain
Direct Air;\N;;DIA;United States
Direct Air trading as Midway Connection;\N;;XAP;United States
Direct Flight;\N;;DCT;United Kingdom
Sky Express;\N;;SXP;Poland
Dirgantara Air Service;\N;AW;DIR;Indonesia
Discover Air;\N;;DCV;United States
Discovery Airways;\N;DH;DVA;United States
Dispatch Services;\N;;XDS;United States
Dix Aviation;\N;;DIX;Germany
Dixie Airways;\N;;DEE;United States
Djibouti Airlines;\N;D8;DJB;Djibouti
Dniproavia;\N;;UDN;Ukraine
Flying Dolphin Airlines;\N;;FDN;United Arab Emirates
Dolphin Express Airlines;\N;;IXX;United States
Dome Petroleum;\N;;DPL;Canada
Dominguez Toledo (Grupo Mayoral);\N;;MYO;Spain
Dominicana de Aviaci;\N;DO;DOA;Dominican Republic
Domodedovo Airlines;\N;E3;DMO;Russia
Don Avia;\N;;DVB;Kazakhstan
Donair Flying Club;\N;;DON;United Kingdom
DonbassAero;\N;5D;UDC;Ukraine
Dorado Air;\N;;DAD;Dominican Republic
Dornier;\N;;DOR;Germany
Dornier Aviation Nigeria;\N;;DAV;Nigeria
Dos Mundos;\N;;DOM;Dominican Republic
Dragonair;\N;KA;HDA;DRAGON
Dreamcatcher Airways;\N;;DCA;United Kingdom
Druk Air;\N;KB;DRK;Bhutan
Drummond Island Air;\N;;DRE;United States
Dubai Airwing;\N;;DUB;United Arab Emirates
Dubrovnik Air;\N;;DBK;Croatia
Ducair;\N;;DUK;Luxembourg
Duchess of Britany (Jersey) Limited;\N;;DBJ;United Kingdom
UK Royal/HRH Duke of York;\N;;LPD;United Kingdom
Dun'Air;\N;;DUN;Mauritania
Duncan Aviation;\N;;PHD;United States
Dunyaya Bakis Hava Tasimaciligi;\N;;VVF;Turkey
Duo Airways;\N;;DUO;United Kingdom
Durango Jet;\N;;DJE;Mexico
Dutch Antilles Express;\N;;DNL;Netherlands Antilles
Dutch Caribbean Express;\N;;DCE;Netherlands Antilles
Dutchbird;\N;;DBR;Netherlands
Dwyer Aircraft Services;\N;;DFS;United States
Dynair Services;\N;;XDY;United States
Dynamair Aviation;\N;;DNR;Canada
Dynamic Air;\N;;DYE;Netherlands
dba;\N;DI;BAG;Germany
E H Darby Aviation;\N;;EHD;United States
Electronic Data Systems;\N;1C;;Switzerland
Electronic Data Systems;\N;;1Y;
EAA Escola De Aviacao Aerocondor;\N;;EAD;Portugal
Executive Airlines Services;\N;;EXW;Nigeria
EFAOS- Agencia De Viagens e Turismo;\N;;EFS;Angola
EFD Eisele Flugdienst;\N;;EFD;Germany
EFS-Flugservice;\N;;FSD;Germany
EIS Aircraft;\N;;EIS;Germany
EPAG Groupe Air France;\N;;IAG;France
ESI Eliservizi Italiani;\N;;ESI;Italy
EU Airways;\N;;EUY;Ireland
EUjet;\N;VE;EUJ;Ireland
EVA Air;\N;BR;EVA;Taiwan
Eagle Aero;\N;;ICR;United States
Eagle Air;\N;;EGR;Sierra Leone
Eagle Air;\N;H7;;Uganda
Eagle Air Company;\N;;EGX;Thailand
Eagle Air Iceland;\N;;FEI;Iceland
Eagle Aviation;\N;;EGU;Uganda
Eagle Aviation;\N;;GYP;United Kingdom
Eagle Aviation France;\N;;EGN;France
Eagle International;\N;;SEG;Senegal
Eagle Jet Charter;\N;;EGJ;United States
Eaglemed (Ballard Aviation);\N;;EMD;United States
Earth Airlines Services;\N;;ERX;Nigeria
East African;\N;QU;UGX;Uganda
East African Safari Air;\N;S9;HSA;Kenya
East African Safari Air Express;\N;;EXZ;Kenya
East Asia Airlines;\N;;EMU;Macao
East Coast Airways;\N;;ECT;South Africa
East Coast Jets;\N;;ECJ;United States
East Hampton Aire;\N;;EHA;United States
East Kansas City Aviation;\N;;EKC;United States
East Midlands Helicopters;\N;;CTK;United Kingdom
East Star Airlines;\N;;DXH;China
East-West Airlines;\N;;EWA;Australia
Eastern Air;\N;;EAZ;Zambia
Eastern Air Executive;\N;;EAX;United Kingdom
Eastern Airways;\N;T3;EZE;United Kingdom
Eastern Australia Airlines;\N;;EAQ;Australia
Eastern Carolina Aviation;\N;;ECI;United States
Eastern Executive Air Charter;\N;;GNS;United Kingdom
Eastern Express;\N;;LIS;Kazakhstan
Eastern Metro Express;\N;;EME;United States
Eastern Pacific Aviation;\N;;EPB;Canada
Eastern Sky Jets;\N;;ESJ;United Arab Emirates
Eastland Air;\N;DK;ELA;Australia
Eastwind Airlines;\N;W9;SGR;United States
Easy Link Aviation Services;\N;;FYE;Nigeria
Eckles Aircraft;\N;;CMN;United States
Eclipse Aviation;\N;;EJT;United States
Eco Air;\N;;ECQ;Nigeria
Ecoair;\N;;DEI;Algeria
Ecomex Air Cargo;\N;;ECX;Angola
Ecotour;\N;;ECD;Mexico
Ecoturistica de Xcalak;\N;;XCC;Mexico
Ecuatoguineana De Aviacion (EGA);\N;;ECV;Equatorial Guinea
Ecuatorial Cargo;\N;;EQC;Equatorial Guinea
Ecuavia;\N;;ECU;Ecuador
Edelweiss Air;\N;WK;EDW;Switzerland
Edgartown Air;\N;;SLO;United States
Edinburgh Air Charter;\N;;EDC;United Kingdom
Edwards Jet Center of Montana;\N;;EDJ;United States
Efata Papua Airlines;\N;;EIJ;Indonesia
Egyptair;\N;MS;MSR;Egypt
Egyptair Cargo;\N;;MSX;Egypt
Egyptian Air Force;\N;;EGY;Egypt
Egyptian Aviation;\N;;EJX;Egypt
Egyptian Aviation Company;\N;;EMA;Egypt
Ei Air Exports;\N;;EIX;Ireland
Eirjet;\N;;EIR;Ireland
El Al Israel Airlines;\N;LY;ELY;Israel
El Caminante Taxi Aereo;\N;;CMX;Mexico
El Quilada International Aviation;\N;;GLQ;Sudan
El Sal Air;\N;;ELS;El Salvador
El Sol De America;\N;;ESC;Venezuela
El-Buraq Air Transport;\N;UZ;BRQ;Libya
Elan Express;\N;;ELX;United States
Elbe Air Transport;\N;;LBR;Germany
Elbrus-Avia Air Enterprise;\N;;NLK;Russia
Eldinder Aviation;\N;;DND;Sudan
Elicar;\N;;PDV;Italy
Elidolomiti;\N;;EDO;Italy
Elieuro;\N;;ELB;Italy
Elifriulia;\N;;EFG;Italy
Elilario Italia;\N;;ELH;Italy
Elilombarda;\N;;EOA;Italy
Elimediterranea;\N;;MEE;Italy
Elios;\N;;VUL;Italy
Elipiu';\N;;IEP;Italy
Elisra Airlines;\N;;RSA;Sudan
Elite Air;\N;;EAI;Togo
Elite Jets;\N;;EJD;United Arab Emirates
Elitellina;\N;;FGS;Italy
Elliott Aviation;\N;;ELT;United States
Elmagal Aviation Services;\N;;MGG;Sudan
Elrom Aviation and Investments;\N;;ELR;Israel
Embassy Airlines;\N;;EAM;Nigeria
Embassy Freight Company;\N;;EFT;United States
Empresa Brasileira De Aeronautica;\N;;EMB;Brazil
Embry-Riddle Aeronautical University;\N;;XSL;United States
Emerald Airways;\N;;JEM;United Kingdom
Emery Worldwide Airlines;\N;;EWW;United States
Emetebe;\N;;EMT;Ecuador
Emirates;Emirates Airlines;EK;UAE;United Arab Emirates
Emoyeni Air Charter;\N;;SBC;South Africa
Empire Air Service;\N;;EMP;United States
Empire Airlines;\N;EM;CFS;United States
Empire Aviation Services;\N;;MPR;Nigeria
Empire Test Pilots' School;\N;;ETP;United Kingdom
Empresa (Aero Uruguay);\N;;AUO;UNIFORM OSCAR
Empresa Aero-Servicios Parrague;\N;;PRG;Chile
Empresa Aerocaribbean;\N;;CRN;Cuba
Empresa Aviacion Interamericana;\N;;VNA;Uruguay
